urban,forest,wetlands,Non-irrigated arable land,Permanently irrigated land,Rice fields,Vineyards,Fruit trees and berry plantations,Olive groves,Pastures,Annual crops associated with permanent crops,Complex cultivation patterns,Land principally occupied by agriculture with significant areas of natural vegetation,Agro-forestry areas,Natural grasslands,Water bodies
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0
1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
