main_crops,crops,animal_division,Hierarchy_position
Forage,forage_maize,ruminants,1
Cereals,Irrigated_maize,non_ruminants,2
Forage,forage_oat,ruminants,3
Forage,forage_sorghum,ruminants,4
Forage,Annual_mixtures,ruminants,5
Forage,forage_roots,ruminants,6
Pastures,Intensive_pasture,ruminants,7
Cereals,Wheat,non_ruminants,8
Cereals,Rainfed_maize,non_ruminants,9
Cereals,Oat,non_ruminants,10
Cereals,Triticale,non_ruminants,11
Cereals,Rice,non_ruminants,12
Cereals,Barley,non_ruminants,13
Cereals,Rye,non_ruminants,14
Potato,Irrigated_potato,non_ruminants,15
Potato,Rainfed_potato,non_ruminants,16
Vineyard,Vineyard,non_ruminants,17
Olive_grove,Olive_grove,non_ruminants,18
Citrus,Orange,non_ruminants,19
Citrus,Tangerine,non_ruminants,20
Citrus,Lemon,non_ruminants,21
Dried_nuts,Almond,non_ruminants,22
Dried_nuts,Chestnut,non_ruminants,23
Dried_nuts,Nuuts,non_ruminants,24
Pulses,Beans,non_ruminants,25
Pulses,Chickpea,non_ruminants,26
Pulses,Other_dried_pulses,non_ruminants,27
Fresh_fruits,Pear,non_ruminants,28
Fresh_fruits,Apple,non_ruminants,29
Fresh_fruits,Peach,non_ruminants,30
Fresh_fruits,other_fresh_fruits,non_ruminants,31
Fresh_fruits,Cherry,non_ruminants,32
